Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GOOG,Alphabet Inc. Class C Capital Stock,$1732.38,8.88,0.515%,1171827345087.00,United States,2004,1033744,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$1728.23,8.01,0.466%,1169020176059.00,United States,,1148163,Technology,Computer Software: Programming Data Processing
GRFS,Grifols S.A. American Depositary Shares,$18.84,-0.09,-0.475%,12896738819.00,Spain,,771606,Health Care,Major Pharmaceuticals
GRMN,Garmin Ltd. Common Stock (Switzerland),$120.24,1.10,0.923%,22994390387.00,Switzerland,2000,587871,Capital Goods,Industrial Machinery/Components
HAS,Hasbro Inc. Common Stock,$92.75,0.37,0.401%,12709589912.00,United States,,671627,Consumer Non-Durables,Recreational Products/Toys
HBAN,Huntington Bancshares Incorporated Common Stock,$12.45,0.32,2.638%,12726831353.00,United States,,15787860,Finance,Major Banks
HOLX,Hologic Inc. Common Stock,$75.06,0.39,0.522%,19291146806.00,United States,1990,1306012,Health Care,Medical Electronics
HTHT,Huazhu Group Limited American Depositary Shares,$44.59,-0.10,-0.224%,14291652107.00,China,2010,1047818,Consumer Services,Hotels/Resorts
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$67.67,-0.47,-0.69%,14935451520.00,Ireland,2011,4480508,Health Care,Major Pharmaceuticals
IAC,IAC/InterActiveCorp Common Stock,$178.37,-5.36,-2.917%,15221940618.00,United States,,831567,Consumer Services,Other Consumer Services
IBKR,Interactive Brokers Group Inc. Class A Common Stock,$60.86,0.42,0.695%,26074711667.00,United States,2019,633501,Finance,Investment Bankers/Brokers/Service
ICLR,ICON plc Ordinary Shares,$193.11,-1.28,-0.658%,10191427176.00,Ireland,1998,176151,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IDXX,IDEXX Laboratories Inc. Common Stock,$493.68,-5.47,-1.096%,42110851176.00,United States,1991,253083,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
IEP,Icahn Enterprises L.P. Common Stock,$50.93,0.27,0.533%,11819947617.00,United States,,241885,Capital Goods,Auto Parts:O.E.M.
ILMN,Illumina Inc. Common Stock,$366.52,-4.44,-1.197%,53511920000.00,United States,2000,747469,Capital Goods,Biotechnology: Laboratory Analytical Instruments
INCY,Incyte Corp. Common Stock,$87.93,-0.06,-0.068%,19256326194.00,United States,,491124,Health Care,Biotechnology: Commercial Physical & Biological Resarch
